opcode,lcs_source_command,vcs_target,vcs_target_function,vcs_descriptor,vcs_local_offset,vcs_selector,status
1274,COMMAND_ATTACH_CHAR_TO_OBJECT,0x002e7e1c,FUN_002e7e1c,0x00000000,0,0,NUMERIC_SLOT_PRESENT_BOTH_UNVERIFIED
1275,COMMAND_SET_CHAR_AS_PLAYER_FRIEND,0x0028992c,FUN_0028992c,0x00000000,0,0,NUMERIC_SLOT_PRESENT_BOTH_UNVERIFIED
1276,COMMAND_DISPLAY_NTH_ONSCREEN_COUNTER,0x00291530,FUN_00291530,0x00000000,0,0,NUMERIC_SLOT_PRESENT_BOTH_UNVERIFIED
1277,COMMAND_DISPLAY_NTH_ONSCREEN_COUNTER_WITH_STRING,0x002eff40,FUN_002eff40,0x00000000,0,0,NUMERIC_SLOT_PRESENT_BOTH_UNVERIFIED
1278,COMMAND_ADD_SET_PIECE,0x00291588,FUN_00291588,0x00000000,0,0,NUMERIC_SLOT_PRESENT_BOTH_UNVERIFIED
1279,COMMAND_SET_EXTRA_COLOURS,0x002915b4,FUN_002915b4,0x00000000,0,0,NUMERIC_SLOT_PRESENT_BOTH_UNVERIFIED
1280,COMMAND_CLEAR_EXTRA_COLOURS,0x0032cf80,FUN_0032cf80,0x00000000,0,0,NUMERIC_SLOT_PRESENT_BOTH_UNVERIFIED
1281,COMMAND_CLOSE_CAR_BOOT,0x0032cfe4,FUN_0032cfe4,0x00000000,0,0,NUMERIC_SLOT_PRESENT_BOTH_UNVERIFIED
1282,COMMAND_GET_WHEELIE_STATS,0x0032d04c,FUN_0032d04c,0x00000000,0,0,NUMERIC_SLOT_PRESENT_BOTH_UNVERIFIED
1283,COMMAND_DISARM_CHAR,0x0032d090,FUN_0032d090,0x00000000,0,0,NUMERIC_SLOT_PRESENT_BOTH_UNVERIFIED
1284,COMMAND_BURST_CAR_TYRE,0x0032d114,FUN_0032d114,0x00000000,0,0,NUMERIC_SLOT_PRESENT_BOTH_UNVERIFIED
1285,COMMAND_IS_CHAR_OBJ_NO_OBJ,0x0032d154,FUN_0032d154,0x00000000,0,0,NUMERIC_SLOT_PRESENT_BOTH_UNVERIFIED
1286,COMMAND_IS_PLAYER_WEARING,0x0032d1ec,FUN_0032d1ec,0x00000000,0,0,NUMERIC_SLOT_PRESENT_BOTH_UNVERIFIED
1287,COMMAND_SET_PLAYER_CAN_DO_DRIVE_BY,0x00289970,FUN_00289970,0x00000000,0,0,NUMERIC_SLOT_PRESENT_BOTH_UNVERIFIED
1288,COMMAND_SET_CHAR_OBJ_SPRINT_TO_COORD,0x0032d268,FUN_0032d268,0x00000000,0,0,NUMERIC_SLOT_PRESENT_BOTH_UNVERIFIED
1289,COMMAND_CREATE_SWAT_ROPE,0x001dd760,FUN_001dd760,0x00000000,0,0,NUMERIC_SLOT_PRESENT_BOTH_UNVERIFIED
1290,COMMAND_SET_FIRST_PERSON_CONTROL_CAMERA,0x00082860,,0x00000000,0,0,NUMERIC_SLOT_PRESENT_BOTH_UNVERIFIED
1291,COMMAND_GET_NEAREST_TYRE_TO_POINT,0x00082874,,0x00000000,0,0,NUMERIC_SLOT_PRESENT_BOTH_UNVERIFIED
1292,COMMAND_SET_CAR_MODEL_COMPONENTS,0x00082888,,0x00000000,0,0,NUMERIC_SLOT_PRESENT_BOTH_UNVERIFIED
1293,COMMAND_SWITCH_LIFT_CAMERA,0x0008289c,,0x00000000,0,0,NUMERIC_SLOT_PRESENT_BOTH_UNVERIFIED
1294,COMMAND_CLOSE_ALL_CAR_DOORS,0x000828b0,FUN_000828b0,0x00000000,0,0,NUMERIC_SLOT_PRESENT_BOTH_UNVERIFIED
1295,COMMAND_GET_DISTANCE_BETWEEN_COORDS_2D,0x00082904,FUN_00082904,0x00000000,0,0,NUMERIC_SLOT_PRESENT_BOTH_UNVERIFIED
1296,COMMAND_GET_DISTANCE_BETWEEN_COORDS_3D,0x00082958,FUN_00082958,0x00000000,0,0,NUMERIC_SLOT_PRESENT_BOTH_UNVERIFIED
1297,COMMAND_POP_CAR_BOOT_USING_PHYSICS,0x000829ac,FUN_000829ac,0x00000000,0,0,NUMERIC_SLOT_PRESENT_BOTH_UNVERIFIED
1298,COMMAND_SET_FIRST_PERSON_WEAPON_CAMERA,0x00082a00,FUN_00082a00,0x00000000,0,0,NUMERIC_SLOT_PRESENT_BOTH_UNVERIFIED
1299,COMMAND_IS_CHAR_LEAVING_VEHICLE_TO_DIE,0x00082a54,FUN_00082a54,0x00000000,0,0,NUMERIC_SLOT_PRESENT_BOTH_UNVERIFIED
1300,COMMAND_SORT_OUT_OBJECT_COLLISION_WITH_CAR,0x00082aa8,FUN_00082aa8,0x00000000,0,0,NUMERIC_SLOT_PRESENT_BOTH_UNVERIFIED
1301,COMMAND_GET_MAX_WANTED_LEVEL,0x00082afc,FUN_00082afc,0x00000000,0,0,NUMERIC_SLOT_PRESENT_BOTH_UNVERIFIED
1302,COMMAND_IS_CHAR_WANDER_PATH_CLEAR,0x00082b50,FUN_00082b50,0x00000000,0,0,NUMERIC_SLOT_PRESENT_BOTH_UNVERIFIED
1303,COMMAND_PRINT_HELP_WITH_NUMBER,0x00082ba4,FUN_00082ba4,0x00000000,0,0,NUMERIC_SLOT_PRESENT_BOTH_UNVERIFIED
1304,COMMAND_PRINT_HELP_FOREVER,0x00082bf8,FUN_00082bf8,0x00000000,0,0,NUMERIC_SLOT_PRESENT_BOTH_UNVERIFIED
1305,COMMAND_PRINT_HELP_FOREVER_WITH_NUMBER,0x00082c4c,FUN_00082c4c,0x00000000,0,0,NUMERIC_SLOT_PRESENT_BOTH_UNVERIFIED
1306,COMMAND_SET_CHAR_CAN_BE_DAMAGED_BY_MEMBERS_OF_GANG,0x00082ca0,FUN_00082ca0,0x00000000,0,0,NUMERIC_SLOT_PRESENT_BOTH_UNVERIFIED
1307,COMMAND_LOAD_AND_LAUNCH_MISSION_EXCLUSIVE,0x00082cf4,FUN_00082cf4,0x00000000,0,0,NUMERIC_SLOT_PRESENT_BOTH_UNVERIFIED
1308,COMMAND_IS_MISSION_AUDIO_PLAYING,0x00082d48,FUN_00082d48,0x00000000,0,0,NUMERIC_SLOT_PRESENT_BOTH_UNVERIFIED
1309,COMMAND_CREATE_LOCKED_PROPERTY_PICKUP,0x00082d94,FUN_00082d94,0x00000000,0,0,NUMERIC_SLOT_PRESENT_BOTH_UNVERIFIED
1310,COMMAND_CREATE_FORSALE_PROPERTY_PICKUP,0x00082de0,FUN_00082de0,0x00000000,0,0,NUMERIC_SLOT_PRESENT_BOTH_UNVERIFIED
1311,COMMAND_FREEZE_CAR_POSITION,0x00082e2c,FUN_00082e2c,0x00000000,0,0,NUMERIC_SLOT_PRESENT_BOTH_UNVERIFIED
1312,COMMAND_HAS_CHAR_BEEN_DAMAGED_BY_CHAR,0x00082e78,FUN_00082e78,0x00000000,0,0,NUMERIC_SLOT_PRESENT_BOTH_UNVERIFIED
1313,COMMAND_HAS_CHAR_BEEN_DAMAGED_BY_CAR,0x00082ec4,FUN_00082ec4,0x00000000,0,0,NUMERIC_SLOT_PRESENT_BOTH_UNVERIFIED
1314,COMMAND_HAS_CAR_BEEN_DAMAGED_BY_CHAR,0x00082f10,FUN_00082f10,0x00000000,0,0,NUMERIC_SLOT_PRESENT_BOTH_UNVERIFIED
1315,COMMAND_HAS_CAR_BEEN_DAMAGED_BY_CAR,0x00080df8,FUN_00080df8,0x00000000,0,0,NUMERIC_SLOT_PRESENT_BOTH_UNVERIFIED
1316,COMMAND_GET_RADIO_CHANNEL,0x0018c288,FUN_0018c288,0x00000000,0,0,NUMERIC_SLOT_PRESENT_BOTH_UNVERIFIED
1317,COMMAND_DISPLAY_TEXT_WITH_3_NUMBERS,0x0018c304,FUN_0018c304,0x00000000,0,0,NUMERIC_SLOT_PRESENT_BOTH_UNVERIFIED
1318,COMMAND_IS_CAR_DROWNING_IN_WATER,0x00080e68,FUN_00080e68,0x00000000,0,0,NUMERIC_SLOT_PRESENT_BOTH_UNVERIFIED
1319,COMMAND_IS_CHAR_DROWNING_IN_WATER,0x0032d2dc,FUN_0032d2dc,0x00000000,0,0,NUMERIC_SLOT_PRESENT_BOTH_UNVERIFIED
1320,COMMAND_DISABLE_CUTSCENE_SHADOWS,0x00080f08,FUN_00080f08,0x00000000,0,0,NUMERIC_SLOT_PRESENT_BOTH_UNVERIFIED
1321,COMMAND_HAS_GLASS_BEEN_SHATTERED_NEARBY,0x00080f94,FUN_00080f94,0x00000000,0,0,NUMERIC_SLOT_PRESENT_BOTH_UNVERIFIED
1322,COMMAND_ATTACH_CUTSCENE_OBJECT_TO_BONE,0x00081040,FUN_00081040,0x00000000,0,0,NUMERIC_SLOT_PRESENT_BOTH_UNVERIFIED
1323,COMMAND_ATTACH_CUTSCENE_OBJECT_TO_COMPONENT,0x00082f5c,FUN_00082f5c,0x00000000,0,0,NUMERIC_SLOT_PRESENT_BOTH_UNVERIFIED
1324,COMMAND_SET_CHAR_STAY_IN_CAR_WHEN_JACKED,0x00082fb0,FUN_00082fb0,0x00000000,0,0,NUMERIC_SLOT_PRESENT_BOTH_UNVERIFIED
1325,COMMAND_IS_MISSION_AUDIO_LOADING,0x0012f9bc,FUN_0012f9bc,0x00000000,0,0,NUMERIC_SLOT_PRESENT_BOTH_UNVERIFIED
1326,COMMAND_ADD_MONEY_SPENT_ON_WEAPONS,0x002899c0,FUN_002899c0,0x00000000,0,0,NUMERIC_SLOT_PRESENT_BOTH_UNVERIFIED
1327,COMMAND_ADD_MONEY_SPENT_ON_PROPERTY,0x001dd7f0,FUN_001dd7f0,0x00000000,0,0,NUMERIC_SLOT_PRESENT_BOTH_UNVERIFIED
1328,COMMAND_ADD_MONEY_SPENT_ON_AUTO_PAINTING,0x0029b920,FUN_0029b920,0x00000000,0,0,NUMERIC_SLOT_PRESENT_BOTH_UNVERIFIED
1329,COMMAND_SET_CHAR_ANSWERING_MOBILE,0x0032d3b0,FUN_0032d3b0,0x00000000,0,0,NUMERIC_SLOT_PRESENT_BOTH_UNVERIFIED
1330,COMMAND_SET_PLAYER_DRUNKENNESS,0x001dd810,FUN_001dd810,0x00000000,0,0,NUMERIC_SLOT_PRESENT_BOTH_UNVERIFIED
1331,COMMAND_GET_PLAYER_DRUNKENNESS,0x002e7e8c,FUN_002e7e8c,0x00000000,0,0,NUMERIC_SLOT_PRESENT_BOTH_UNVERIFIED
1332,COMMAND_SET_PLAYER_DRUG_LEVEL,0x002e7f78,FUN_002e7f78,0x00000000,0,0,NUMERIC_SLOT_PRESENT_BOTH_UNVERIFIED
1333,COMMAND_GET_PLAYER_DRUG_LEVEL,0x00083004,FUN_00083004,0x00000000,0,0,NUMERIC_SLOT_PRESENT_BOTH_UNVERIFIED
1334,COMMAND_ADD_LOAN_SHARK_VISITS,0x00083074,FUN_00083074,0x00000000,0,0,NUMERIC_SLOT_PRESENT_BOTH_UNVERIFIED
1335,COMMAND_ADD_STORES_KNOCKED_OFF,0x000830e4,FUN_000830e4,0x00000000,0,0,NUMERIC_SLOT_PRESENT_BOTH_UNVERIFIED
1336,COMMAND_ADD_MOVIE_STUNTS,0x00083130,FUN_00083130,0x00000000,0,0,NUMERIC_SLOT_PRESENT_BOTH_UNVERIFIED
1337,COMMAND_ADD_NUMBER_OF_ASSASSINATIONS,0x0008317c,FUN_0008317c,0x00000000,0,0,NUMERIC_SLOT_PRESENT_BOTH_UNVERIFIED
1338,COMMAND_ADD_PIZZAS_DELIVERED,0x000831ec,FUN_000831ec,0x00000000,0,0,NUMERIC_SLOT_PRESENT_BOTH_UNVERIFIED
1339,COMMAND_ADD_GARBAGE_PICKUPS,0x00083238,FUN_00083238,0x00000000,0,0,NUMERIC_SLOT_PRESENT_BOTH_UNVERIFIED
1340,COMMAND_ADD_ICE_CREAMS_SOLD,0x00083284,FUN_00083284,0x00000000,0,0,NUMERIC_SLOT_PRESENT_BOTH_UNVERIFIED
1341,COMMAND_SET_TOP_SHOOTING_RANGE_SCORE,0x000832d8,FUN_000832d8,0x00000000,0,0,NUMERIC_SLOT_PRESENT_BOTH_UNVERIFIED
1342,COMMAND_ADD_SHOOTING_RANGE_RANK,0x0008332c,FUN_0008332c,0x00000000,0,0,NUMERIC_SLOT_PRESENT_BOTH_UNVERIFIED
1343,COMMAND_ADD_MONEY_SPENT_ON_GAMBLING,0x00289a2c,FUN_00289a2c,0x00000000,0,0,NUMERIC_SLOT_PRESENT_BOTH_UNVERIFIED
1344,COMMAND_ADD_MONEY_WON_ON_GAMBLING,0x00289a6c,FUN_00289a6c,0x00000000,0,0,NUMERIC_SLOT_PRESENT_BOTH_UNVERIFIED
1345,COMMAND_SET_LARGEST_GAMBLING_WIN,0x002e7fc8,FUN_002e7fc8,0x00000000,0,0,NUMERIC_SLOT_PRESENT_BOTH_UNVERIFIED
1346,COMMAND_SET_CHAR_IN_PLAYERS_GROUP_CAN_FIGHT,0x0032d41c,FUN_0032d41c,0x00000000,0,0,NUMERIC_SLOT_PRESENT_BOTH_UNVERIFIED
1347,COMMAND_CLEAR_CHAR_WAIT_STATE,0x0032d490,FUN_0032d490,0x00000000,0,0,NUMERIC_SLOT_PRESENT_BOTH_UNVERIFIED
1348,COMMAND_GET_RANDOM_CAR_OF_TYPE_IN_AREA_NO_SAVE,0x0012fcbc,FUN_0012fcbc,0x00000000,0,0,NUMERIC_SLOT_PRESENT_BOTH_UNVERIFIED
1349,COMMAND_SET_CAN_BURST_CAR_TYRES,0x0031a794,FUN_0031a794,0x00000000,0,0,NUMERIC_SLOT_PRESENT_BOTH_UNVERIFIED
1350,COMMAND_SET_PLAYER_AUTO_AIM,0x00083380,FUN_00083380,0x00000000,0,0,NUMERIC_SLOT_PRESENT_BOTH_UNVERIFIED
1351,COMMAND_FIRE_HUNTER_GUN,0x00291614,FUN_00291614,0x00000000,0,0,NUMERIC_SLOT_PRESENT_BOTH_UNVERIFIED
1352,COMMAND_SET_PROPERTY_AS_OWNED,0x001dd880,FUN_001dd880,0x00000000,0,0,NUMERIC_SLOT_PRESENT_BOTH_UNVERIFIED
1353,COMMAND_ADD_BLOOD_RING_KILLS,0x001dd910,FUN_001dd910,0x00000000,0,0,NUMERIC_SLOT_PRESENT_BOTH_UNVERIFIED
1354,COMMAND_SET_LONGEST_TIME_IN_BLOOD_RING,0x002ee7bc,FUN_002ee7bc,0x00000000,0,0,NUMERIC_SLOT_PRESENT_BOTH_UNVERIFIED
1355,COMMAND_REMOVE_EVERYTHING_FOR_HUGE_CUTSCENE,0x0032d504,FUN_0032d504,0x00000000,0,0,NUMERIC_SLOT_PRESENT_BOTH_UNVERIFIED
1356,COMMAND_IS_PLAYER_TOUCHING_VEHICLE,0x000833d4,FUN_000833d4,0x00000000,0,0,NUMERIC_SLOT_PRESENT_BOTH_UNVERIFIED
1357,COMMAND_IS_CHAR_TOUCHING_VEHICLE,0x0032d598,FUN_0032d598,0x00000000,0,0,NUMERIC_SLOT_PRESENT_BOTH_UNVERIFIED
1358,COMMAND_CHECK_FOR_PED_MODEL_AROUND_PLAYER,0x001dd96c,FUN_001dd96c,0x00000000,0,0,NUMERIC_SLOT_PRESENT_BOTH_UNVERIFIED
1359,COMMAND_CLEAR_CHAR_FOLLOW_PATH,0x001dd9a4,,0x00000000,0,0,NUMERIC_SLOT_PRESENT_BOTH_UNVERIFIED
1360,COMMAND_SET_CHAR_CAN_BE_SHOT_IN_VEHICLE,0x000834d4,FUN_000834d4,0x00000000,0,0,NUMERIC_SLOT_PRESENT_BOTH_UNVERIFIED
1361,COMMAND_ATTACH_CUTSCENE_OBJECT_TO_VEHICLE,0x00083518,FUN_00083518,0x00000000,0,0,NUMERIC_SLOT_PRESENT_BOTH_UNVERIFIED
1362,COMMAND_LOAD_MISSION_TEXT,0x0008355c,FUN_0008355c,0x00000000,0,0,NUMERIC_SLOT_PRESENT_BOTH_UNVERIFIED
1363,COMMAND_SET_TONIGHTS_EVENT,0x000835b0,FUN_000835b0,0x00000000,0,0,NUMERIC_SLOT_PRESENT_BOTH_UNVERIFIED
1364,COMMAND_CLEAR_CHAR_LAST_DAMAGE_ENTITY,0x000835f4,FUN_000835f4,0x00000000,0,0,NUMERIC_SLOT_PRESENT_BOTH_UNVERIFIED
1365,COMMAND_CLEAR_CAR_LAST_DAMAGE_ENTITY,0x0029b964,FUN_0029b964,0x00000000,0,0,NUMERIC_SLOT_PRESENT_BOTH_UNVERIFIED
1366,COMMAND_FREEZE_OBJECT_POSITION,0x0001699c,FUN_0001699c,0x00000000,0,0,NUMERIC_SLOT_PRESENT_BOTH_UNVERIFIED
1367,COMMAND_SET_PLAYER_HAS_MET_DEBBIE_HARRY,0x0032d60c,FUN_0032d60c,0x00000000,0,0,NUMERIC_SLOT_PRESENT_BOTH_UNVERIFIED
1368,COMMAND_SET_RIOT_INTENSITY,0x0032d680,FUN_0032d680,0x00000000,0,0,NUMERIC_SLOT_PRESENT_BOTH_UNVERIFIED
1369,COMMAND_IS_CAR_IN_ANGLED_AREA_2D,0x00210d04,FUN_00210d04,0x00000000,0,0,NUMERIC_SLOT_PRESENT_BOTH_UNVERIFIED
1370,COMMAND_IS_CAR_IN_ANGLED_AREA_3D,0x0009e4c8,FUN_0009e4c8,0x00000000,0,0,NUMERIC_SLOT_PRESENT_BOTH_UNVERIFIED
1371,COMMAND_REMOVE_WEAPON_FROM_CHAR,,,,,,LCS_SOURCE_ONLY
