# Generated from VCS_PSP_PS2_OPCODE_COMPARE.json; opcode<TAB>table handler target
0x046A	0x0017e368
0x046B	0x0017e488
0x046C	0x0017e6f0
0x046D	0x0041d538
0x046E	0x003d82f8
0x046F	0x003d83f0
0x0470	0x00288110
0x0471	0x00288170
0x0472	0x00361960
0x0473	0x00361a40
0x0474	0x00361b48
0x0475	0x00311530
0x0476	0x0011d310
0x0477	0x003b2a90
0x0478	0x0021b3a8
0x0479	0x004063b0
0x047A	0x00406500
0x047B	0x0017e798
0x047C	0x001e6070
0x047D	0x001e61f0
0x047E	0x001e6340
0x047F	0x001e65b8
0x0480	0x001e67b0
0x0481	0x002d5b80
0x0482	0x0021b7e0
0x0483	0x0021b858
0x0484	0x0021b788
0x0485	0x00184038
0x0486	0x0017e858
0x0487	0x0041d810
0x0488	0x00406550
0x0489	0x0017e940
0x048A	0x0017e980
0x048B	0x002665e8
0x048C	0x00266718
0x048D	0x00100808
0x048E	0x00100888
0x048F	0x00100908
0x0490	0x003115c0
0x0491	0x00311640
0x0492	0x00406590
0x0493	0x0021b900
0x0494	0x0021b9a0
0x0495	0x003d86c8
0x0496	0x003d8888
0x0497	0x003d8a48
0x0498	0x003d8ac0
0x0499	0x003d8b38
0x049A	0x003d8bd0
0x049B	0x003660e8
0x049C	0x004065f0
0x049D	0x00406658
0x049E	0x0017e9c0
0x049F	0x0011d430
0x04A0	0x0011d488
0x04A1	0x00366e10
0x04A2	0x003166f0
0x04A3	0x0041d890
0x04A4	0x0041d908
0x04A5	0x003d8c68
0x04A6	0x003d8d00
0x04A7	0x003d8e38
0x04A8	0x003d8e80
0x04A9	0x003d8f38
0x04AA	0x003d8ff8
0x04AB	0x003d9088
0x04AC	0x003d9118
0x04AD	0x003d9188
0x04AE	0x0041d978
0x04AF	0x0041da48
0x04B0	0x0041db18
0x04B1	0x0041db90
0x04B2	0x0041dc08
0x04B3	0x0041dca0
0x04B4	0x00183a60
0x04B5	0x0041dd38
0x04B6	0x00417f70
0x04B7	0x00417ff8
0x04B8	0x00310418
0x04B9	0x00418080
0x04BA	0x00310510
0x04BB	0x0035b278
0x04BC	0x003116b8
0x04BD	0x002d5c18
0x04BE	0x003d2548
0x04BF	0x004066c0
0x04C0	0x00311858
0x04C1	0x003118e8
0x04C2	0x0041ddb0
0x04C3	0x00417d78
0x04C4	0x0036d4d0
0x04C5	0x0021ba60
0x04C6	0x0021bab8
0x04C7	0x00391ac0
0x04C8	0x00391ae0
0x04C9	0x00391b00
0x04CA	0x00391ba0
0x04CB	0x0017ebe0
0x04CC	0x00367278
0x04CD	0x003dda10
0x04CE	0x004067a8
0x04CF	0x0041de28
0x04D0	0x0041dec0
0x04D1	0x003d1ad8
0x04D2	0x003d9210
0x04D3	0x0041df58
0x04D4	0x002d5d30
0x04D5	0x002d5d90
0x04D6	0x002d5e00
0x04D7	0x002881e8
0x04D8	0x00311908
0x04D9	0x00185358
0x04DA	0x00185398
0x04DB	0x001853d8
0x04DC	0x00391980
0x04DD	0x003d9290
0x04DE	0x00366120
0x04DF	0x002d5ee8
0x04E0	0x00361c08
0x04E1	0x00405d60
0x04E2	0x00367280
0x04E3	0x00311a00
0x04E4	0x004181a8
0x04E5	0x00185408
0x04E6	0x0041dff0
0x04E7	0x00391c20
0x04E8	0x003d9368
0x04E9	0x003d9440
0x04EA	0x00185460
0x04EB	0x003672c8
0x04EC	0x001834b8
0x04ED	0x0021bb00
0x04EE	0x0041e068
0x04EF	0x001835a8
0x04F0	0x002d6000
0x04F1	0x0030ecd0
0x04F2	0x003b2b20
0x04F3	0x00185478
0x04F4	0x001854b8
0x04F5	0x0035c1d0
0x04F6	0x0017ee00
0x04F7	0x003ddbb0
0x04F8	0x0032c6f8
0x04F9	0x0032c850
0x04FA	0x003d14c8
0x04FB	0x00367310
0x04FC	0x00387310
0x04FD	0x003df6e8
0x04FE	0x00387360
0x04FF	0x003873b8
0x0500	0x0041e0b8
0x0501	0x0041e128
0x0502	0x0041e198
0x0503	0x0041e260
0x0504	0x0041e390
0x0505	0x0041e2e8
0x0506	0x0041e1e0
0x0507	0x00367380
0x0508	0x0041e3d8
0x0509	0x002d6130
0x050A	0x00185528
0x050B	0x00185540
0x050C	0x00185558
0x050D	0x00185570
0x050E	0x00185588
0x050F	0x001855d8
0x0510	0x00185628
0x0511	0x00185678
0x0512	0x001856c8
0x0513	0x00185718
0x0514	0x00185768
0x0515	0x001857b8
0x0516	0x00185808
0x0517	0x00185858
0x0518	0x001858a8
0x0519	0x001858f8
0x051A	0x00185948
0x051B	0x00185998
0x051C	0x001859e8
0x051D	0x00185a38
0x051E	0x00185a88
0x051F	0x00185ad8
0x0520	0x00185b28
0x0521	0x00185b78
0x0522	0x00185bc8
0x0523	0x00184138
0x0524	0x00288050
0x0525	0x002880c8
0x0526	0x001841b0
0x0527	0x0041e460
0x0528	0x00184240
0x0529	0x001842c8
0x052A	0x00184378
0x052B	0x00185c18
0x052C	0x00185c68
0x052D	0x0021bc38
0x052E	0x003673d8
0x052F	0x002d61e0
0x0530	0x00391d08
0x0531	0x0041e530
0x0532	0x002d6238
0x0533	0x003d9518
0x0534	0x003d9620
0x0535	0x00185cb8
0x0536	0x00185d30
0x0537	0x00185da8
0x0538	0x00185df8
0x0539	0x00185e48
0x053A	0x00185ec0
0x053B	0x00185f10
0x053C	0x00185f60
0x053D	0x00186000
0x053E	0x00185fb0
0x053F	0x00367468
0x0540	0x003674b0
0x0541	0x003d9678
0x0542	0x0041e5b0
0x0543	0x0041e638
0x0544	0x0021bef8
0x0545	0x00406820
0x0546	0x00186050
0x0547	0x00387408
0x0548	0x002d62b0
0x0549	0x002d6360
0x054A	0x003dddc0
0x054B	0x0041e6c0
0x054C	0x001860a8
0x054D	0x0041e760
0x054E	0x002d6200
0x054F	0x002d63c8
0x0550	0x00186198
0x0551	0x001861e0
0x0552	0x00186228
0x0553	0x00186278
0x0554	0x001862c0
0x0555	0x00391d48
0x0556	0x0011d540
0x0557	0x0041e7e8
0x0558	0x0041e870
0x0559	0x00311ba0
0x055A	0x0012c1e0
