# Generated from VCS_PSP_PS2_OPCODE_COMPARE.json; opcode<TAB>table handler target
0x010E	0x003df8c8
0x010F	0x004148a8
0x0110	0x002d3298
0x0111	0x003d2140
0x0112	0x00414a20
0x0113	0x003d2218
0x0114	0x0030d6a8
0x0115	0x00414aa8
0x0116	0x003d2298
0x0117	0x0030d728
0x0118	0x00414b28
0x0119	0x00414ff0
0x011A	0x00415068
0x011B	0x0010c720
0x011C	0x004150b8
0x011D	0x003dae58
0x011E	0x003daf50
0x011F	0x003db040
0x0120	0x003db138
0x0121	0x0036c878
0x0122	0x0036c928
0x0123	0x003d2308
0x0124	0x003d2380
0x0125	0x003d23f8
0x0126	0x003d2438
0x0127	0x00415120
0x0128	0x002d3318
0x012C	0x003d2628
0x012D	0x003d26f8
0x012E	0x002d3358
0x012F	0x00391f10
0x0130	0x00392008
0x0131	0x001000c0
0x0132	0x00316770
0x0133	0x00316770
0x0134	0x00316770
0x0135	0x00316770
0x0136	0x00316770
0x0137	0x00316770
0x0138	0x00100138
0x0139	0x001001d0
0x013A	0x003d2800
0x013B	0x003d2858
0x013C	0x00182978
0x013D	0x003d28c8
0x013E	0x00415178
0x013F	0x002d7ce0
0x0140	0x002d7e28
0x0141	0x002d7ee8
0x0142	0x001829f8
0x0143	0x003db228
0x0144	0x003db308
0x0145	0x002bf950
0x0146	0x002bf9e8
0x0147	0x002bfa60
0x0148	0x002bfb20
0x0149	0x003d29c8
0x014A	0x002d3408
0x014B	0x00415340
0x014C	0x003d2aa8
0x014D	0x00415420
0x014E	0x003d2b08
0x014F	0x003d2b80
0x0150	0x003d2c70
0x0151	0x0036c9d8
0x0152	0x0036ca88
0x0153	0x00415498
0x0154	0x00415538
0x0155	0x00387220
0x0156	0x00387270
0x0157	0x003872c0
0x0158	0x0010c7a0
0x0159	0x0012baf8
0x015A	0x0012bbe8
0x015B	0x002d3470
0x015C	0x003d2df8
0x015D	0x004155c8
0x015E	0x001e2eb8
0x015F	0x00415628
0x0160	0x0012bcb0
0x0161	0x0012be70
0x0162	0x0012bff0
0x0163	0x003dde18
0x0164	0x003dde98
0x0165	0x00405558
0x0166	0x00366068
0x0167	0x00366088
0x0168	0x003660a8
0x0169	0x003660c8
0x016A	0x002d3548
0x016B	0x003ddf50
0x016C	0x003ddfe0
0x016D	0x003de028
0x016E	0x003de078
0x016F	0x003de0c8
0x0170	0x003de1a0
0x0171	0x003de2b0
0x0172	0x003de300
0x0173	0x003de370
0x0174	0x003de3e0
0x0175	0x003de450
0x0176	0x003de4c0
0x0177	0x003de530
0x0178	0x003de5a0
0x0179	0x003de610
0x017A	0x003de680
0x017B	0x003de6f0
0x017C	0x003de800
0x017D	0x003de898
0x017E	0x003de910
0x017F	0x003de960
0x0180	0x003de9b0
0x0181	0x003dea20
0x0182	0x003dea90
0x0183	0x003deb00
0x0184	0x003deb98
0x0185	0x003debf8
0x0186	0x003dec90
0x0187	0x003dece0
0x0188	0x003dede0
0x0189	0x003defe8
0x018A	0x003df0d8
0x018B	0x003df140
0x018C	0x003df198
0x018D	0x003df2a0
0x018E	0x003dee28
0x018F	0x003df378
0x0190	0x003df4c8
0x0191	0x003df4c8
0x0192	0x003df4c8
0x0193	0x003df4c8
0x0194	0x003df4c8
0x0195	0x003df4c8
0x0196	0x003df4e8
0x0197	0x003df4e8
0x0198	0x003df4e8
0x0199	0x003df508
0x019A	0x003df508
0x019B	0x003df508
0x019C	0x003df528
0x019D	0x003deef0
0x019E	0x003df528
0x019F	0x003df528
0x01A0	0x003df528
0x01A1	0x003df528
0x01A2	0x003df528
0x01A3	0x003dee70
0x01A4	0x004156b0
0x01A5	0x003a7d48
0x01A6	0x003d2e80
0x01A7	0x0012c088
0x01A8	0x002d3630
0x01A9	0x002d3650
0x01AA	0x0030d798
0x01AB	0x003d2f00
0x01AC	0x00415740
0x01AD	0x003db400
0x01AE	0x001e2f68
0x01AF	0x00415818
0x01B0	0x003d2fd8
0x01B1	0x00415898
0x01B2	0x003d3058
0x01B3	0x003d3198
0x01B4	0x0036cb38
0x01B5	0x0036ccd0
0x01B6	0x003d3280
0x01B7	0x003d3450
0x01B8	0x004159d8
0x01B9	0x0030dad8
0x01BA	0x003b23d8
0x01BB	0x00390bb8
0x01BC	0x00182a70
0x01BD	0x00182b70
0x01BE	0x00182c38
0x01BF	0x003d3630
0x01C0	0x003d3750
0x01C1	0x00415bb8
0x01C2	0x00415d00
0x01C3	0x003d37d8
0x01C4	0x00415df0
0x01C5	0x00416070
0x01C6	0x002d36b8
0x01C7	0x00416370
0x01C8	0x002d7f28
0x01C9	0x00416448
0x01CA	0x003d3838
0x01CB	0x001e2fc8
0x01CC	0x001e3048
0x01CD	0x001e3088
0x01CE	0x001e3148
0x01CF	0x00287d70
0x01D0	0x004164d0
0x01D1	0x002d37e0
0x01D2	0x00100278
0x01D3	0x001002f8
0x01D4	0x003d3928
0x01D5	0x003d39c0
0x01D6	0x002bfb78
0x01D7	0x002bfbc8
0x01D8	0x003db470
0x01D9	0x003db560
0x01DA	0x003db658
0x01DB	0x003db748
0x01DC	0x003db838
0x01DD	0x003db930
0x01DE	0x003dba20
0x01DF	0x001849d8
0x01E0	0x00184a60
0x01E1	0x00184aa8
0x01E2	0x00184af0
0x01E3	0x00184b38
0x01E4	0x00184b88
0x01E5	0x00184bd8
0x01E6	0x00184c28
0x01E7	0x00184c40
0x01E8	0x00184c80
0x01E9	0x00184c98
0x01EA	0x00184ce0
0x01EB	0x00184cf8
0x01EC	0x004165b0
0x01ED	0x00182c80
0x01EE	0x00416630
0x01EF	0x003d3a58
0x01F0	0x00416740
0x01F1	0x00416850
0x01F2	0x003d3b68
0x01F3	0x001cc6e0
0x01F4	0x00182ca8
0x01F5	0x00182d68
0x01F6	0x003d3bf0
0x01F7	0x002c01e0
0x01F8	0x00287d98
0x01F9	0x002d8050
0x01FA	0x003d3de0
0x01FB	0x002d38c0
0x01FC	0x002d3938
0x01FD	0x004168b8
0x01FE	0x003d3e58
0x01FF	0x002bfc80
0x0200	0x00416938
0x0201	0x003d3ee0
0x0202	0x00390c40
0x0203	0x003dbb10
0x0204	0x003dbd28
0x0205	0x003dbda0
0x0206	0x003dbe60
0x0207	0x003dbef0
0x0208	0x003dbf80
0x0209	0x003dc008
0x020A	0x003dc098
0x020B	0x0030dcb8
0x020C	0x0030e4b0
0x020D	0x004169e8
0x020E	0x00416b28
0x020F	0x00416bc8
0x0210	0x00182e28
0x0211	0x0030f600
0x0212	0x0030f690
0x0213	0x00416cc8
0x0214	0x002bfcd8
0x0215	0x002bfd28
0x0216	0x00416d88
0x0217	0x0030f700
0x0218	0x00417210
0x0219	0x0010c870
0x021A	0x0030fa28
0x021B	0x00392048
0x021C	0x00417310
0x021D	0x003d3f60
0x021E	0x003dc128
0x021F	0x003dc220
0x0220	0x004173a0
0x0221	0x00287e20
0x0222	0x00417438
0x0223	0x00390e70
0x0224	0x0030fb10
0x0225	0x0030fb90
0x0226	0x003dc318
0x0227	0x00390f98
0x0228	0x0012bfc0
0x0229	0x0030fc10
0x022A	0x0030fcd0
0x022B	0x00366990
0x022C	0x00391110
0x022D	0x003df900
0x022E	0x003d3fc8
0x022F	0x0036ce08
0x0230	0x003d4048
0x0231	0x0011cfe8
0x0232	0x004178f0
0x0233	0x003d40f8
0x0234	0x003911d8
0x0235	0x004056b8
0x0236	0x003d4220
0x0237	0x00417988
0x0238	0x003b2440
0x0239	0x00333ef8
0x023A	0x00333f28
0x023B	0x00333f58
0x023C	0x00366a00
0x023D	0x003d4298
0x023E	0x00417a70
0x023F	0x00182f50
0x0240	0x0011d150
0x0241	0x003912c0
0x0242	0x002bfd78
0x0243	0x002bfe38
0x0244	0x0021af40
0x0245	0x00391318
0x0246	0x003d4330
0x0247	0x002bfef8
0x0248	0x004057d8
0x0249	0x00405928
0x024A	0x002d39b0
0x024B	0x00417ab0
0x024C	0x003df958
0x024D	0x003dfa20
0x024E	0x003d43d8
0x024F	0x002d3a60
0x0250	0x00287e48
0x0251	0x003d4988
0x0252	0x0030fd80
0x0253	0x00391370
0x0254	0x003d4a68
0x0255	0x003d4ae0
0x0256	0x003d4b28
0x0257	0x00366a58
0x0258	0x00366bc0
0x0259	0x00366c90
0x025A	0x00366ce8
0x025B	0x0036ce78
0x025C	0x002bff38
0x025D	0x003dc460
0x025E	0x003dc4f0
0x025F	0x00366db0
0x0260	0x002d3aa8
0x0261	0x002d3b58
0x0262	0x002c0010
0x0263	0x0035bf10
0x0264	0x00417b50
0x0265	0x00417b90
0x0266	0x003dc580
0x0267	0x003dc610
0x0268	0x003dc6d0
0x0269	0x00405978
0x026A	0x00417bd0
0x026B	0x00287e70
0x026C	0x003dc740
0x026D	0x003d4c08
0x026E	0x002d3c20
0x026F	0x002d3d88
0x0270	0x003dc788
