# Generated from VCS_PSP_PS2_OPCODE_COMPARE.json; opcode<TAB>table handler target
0x010E	0x002f0118
0x010F	0x0032499c
0x0110	0x001daa64
0x0111	0x002e1624
0x0112	0x00324ae4
0x0113	0x002e1700
0x0114	0x0020e25c
0x0115	0x00324b70
0x0116	0x002e177c
0x0117	0x0020e2d8
0x0118	0x0032e444
0x0119	0x00324bec
0x011A	0x00324c58
0x011B	0x00004d88
0x011C	0x00324ca0
0x011D	0x002eb79c
0x011E	0x002eb8a4
0x011F	0x002eb9a8
0x0120	0x002ebab4
0x0121	0x0028e364
0x0122	0x0028e434
0x0123	0x002e17e4
0x0124	0x002e1858
0x0125	0x002e18c8
0x0126	0x002e1904
0x0127	0x00324d0c
0x0128	0x001daae0
0x012C	0x002e1a10
0x012D	0x002e1ae0
0x012E	0x001dab1c
0x012F	0x0029c55c
0x0130	0x0029c66c
0x0131	0x000001fc
0x0132	0x0020db8c
0x0133	0x0020db8c
0x0134	0x0020db8c
0x0135	0x0020db8c
0x0136	0x0020db8c
0x0137	0x0020db8c
0x0138	0x00000268
0x0139	0x00000300
0x013A	0x002e1bd8
0x013B	0x002e1c2c
0x013C	0x0007f50c
0x013D	0x002e1c98
0x013E	0x00324d5c
0x013F	0x001ddcd0
0x0140	0x001dde20
0x0141	0x001ddee8
0x0142	0x0007f588
0x0143	0x002ebbb8
0x0144	0x002ebca4
0x0145	0x001d3f3c
0x0146	0x001d3fd8
0x0147	0x001d4060
0x0148	0x001d4130
0x0149	0x002e1d88
0x014A	0x001daba0
0x014B	0x00324eec
0x014C	0x002e1e5c
0x014D	0x00324fc8
0x014E	0x002e1eb8
0x014F	0x002e1f30
0x0150	0x002e2014
0x0151	0x0028e504
0x0152	0x0028e5d4
0x0153	0x00325040
0x0154	0x003250cc
0x0155	0x0029142c
0x0156	0x00291484
0x0157	0x002914d8
0x0158	0x00004e08
0x0159	0x0009dda0
0x015A	0x0009dea0
0x015B	0x001dac04
0x015C	0x002e2174
0x015D	0x00325158
0x015E	0x001d9a38
0x015F	0x003251b0
0x0160	0x0009df7c
0x0161	0x0009e058
0x0162	0x0009e1b0
0x0163	0x000bd6cc
0x0164	0x000bd74c
0x0165	0x003194b8
0x0166	0x00283d1c
0x0167	0x00283d3c
0x0168	0x00283d5c
0x0169	0x00283d7c
0x016A	0x001dace4
0x016B	0x002ee81c
0x016C	0x002ee8bc
0x016D	0x002ee904
0x016E	0x002ee950
0x016F	0x002ee99c
0x0170	0x002eea64
0x0171	0x002eeb84
0x0172	0x002eebd0
0x0173	0x002eec38
0x0174	0x002eeca0
0x0175	0x002eed08
0x0176	0x002eed70
0x0177	0x002eedd8
0x0178	0x002eee40
0x0179	0x002eeea8
0x017A	0x002eef10
0x017B	0x002eef78
0x017C	0x002ef098
0x017D	0x002ef12c
0x017E	0x002ef19c
0x017F	0x002ef1e8
0x0180	0x002ef234
0x0181	0x002ef29c
0x0182	0x002ef304
0x0183	0x002ef36c
0x0184	0x002ef400
0x0185	0x002ef470
0x0186	0x002ef504
0x0187	0x002ef550
0x0188	0x002ef660
0x0189	0x002ef6a8
0x018A	0x002ef78c
0x018B	0x002ef7f0
0x018C	0x002ef844
0x018D	0x002ef940
0x018E	0x002efa08
0x018F	0x002efa50
0x0190	0x002efbb4
0x0191	0x002efbb4
0x0192	0x002efbb4
0x0193	0x002efbb4
0x0194	0x002efbb4
0x0195	0x002efbb4
0x0196	0x002efbd4
0x0197	0x002efbd4
0x0198	0x002efbd4
0x0199	0x002efbf4
0x019A	0x002efbf4
0x019B	0x002efbf4
0x019C	0x002efc14
0x019D	0x002efc34
0x019E	0x002efc14
0x019F	0x002efc14
0x01A0	0x002efc14
0x01A1	0x002efc14
0x01A2	0x002efc14
0x01A3	0x002efd2c
0x01A4	0x00325218
0x01A5	0x002acd00
0x01A6	0x002e21ec
0x01A7	0x0009e248
0x01A8	0x001dadb4
0x01A9	0x001dadd4
0x01AA	0x0020e340
0x01AB	0x002e2260
0x01AC	0x00325294
0x01AD	0x002ebdac
0x01AE	0x001d9ac8
0x01AF	0x00325370
0x01B0	0x002e233c
0x01B1	0x003253ec
0x01B2	0x002e23b8
0x01B3	0x002e24f4
0x01B4	0x0028e6a4
0x01B5	0x0028e810
0x01B6	0x002e25d4
0x01B7	0x002e279c
0x01B8	0x00325528
0x01B9	0x0020e530
0x01BA	0x002b82f8
0x01BB	0x0029a7c8
0x01BC	0x0007f5f8
0x01BD	0x0007f6ec
0x01BE	0x0007f7c8
0x01BF	0x002e2928
0x01C0	0x002e2a38
0x01C1	0x003256b4
0x01C2	0x003257f8
0x01C3	0x002e2aac
0x01C4	0x003258f4
0x01C5	0x00325ba0
0x01C6	0x001dae3c
0x01C7	0x00325ea0
0x01C8	0x001ddf24
0x01C9	0x00325f7c
0x01CA	0x002e2b10
0x01CB	0x001d9b28
0x01CC	0x001d9b98
0x01CD	0x001d9bcc
0x01CE	0x001d9c88
0x01CF	0x0018be08
0x01D0	0x00326010
0x01D1	0x001daf5c
0x01D2	0x000003c8
0x01D3	0x00000468
0x01D4	0x002e2bd4
0x01D5	0x002e2c64
0x01D6	0x001d4180
0x01D7	0x001d41dc
0x01D8	0x002ebe1c
0x01D9	0x002ebf20
0x01DA	0x002ec02c
0x01DB	0x002ec130
0x01DC	0x002ec234
