# Generated from VCS_PSP_PS2_OPCODE_COMPARE.json; opcode<TAB>table handler target
0x0456	0x0017273c
0x0457	0x00172790
0x0458	0x00172854
0x0459	0x001728b8
0x045A	0x0017291c
0x045B	0x00172980
0x045C	0x001729e8
0x045D	0x00172a3c
0x045E	0x0007a1a4
0x045F	0x0007a258
0x0460	0x0007a2c0
0x0461	0x0007a348
0x0462	0x0007a3b0
0x0463	0x0007a418
0x0464	0x0007a4a8
0x0465	0x0007a530
0x0466	0x0007a5dc
0x0467	0x0007a660
0x0468	0x0007a6e4
0x0469	0x0007a768
0x046A	0x0007a7ec
0x046B	0x0007a870
0x046C	0x0007a8f4
0x046D	0x0032c26c
0x046E	0x002e6de4
0x046F	0x002e6ecc
0x0470	0x0018c110
0x0471	0x0018c16c
0x0472	0x00281dbc
0x0473	0x00281eb8
0x0474	0x00281fd8
0x0475	0x00210520
0x0476	0x000167d4
0x0477	0x002b8964
0x0478	0x0012f0b0
0x0479	0x0031a26c
0x047A	0x0031a39c
0x047B	0x0007a998
0x047C	0x000f76fc
0x047D	0x000f7878
0x047E	0x000f79c8
0x047F	0x000f7b9c
0x0480	0x000f7de0
0x0481	0x001dd218
0x0482	0x0012f4dc
0x0483	0x0012f54c
0x0484	0x0012f5e8
0x0485	0x00080a28
0x0486	0x0007aa40
0x0487	0x0032c470
0x0488	0x0031a3e8
0x0489	0x0007ab38
0x048A	0x0007ab6c
0x048B	0x00172b10
0x048C	0x00172c38
0x048D	0x000009cc
0x048E	0x00000a48
0x048F	0x00000ac8
0x0490	0x002105d8
0x0491	0x00210658
0x0492	0x0031a428
0x0493	0x0012f63c
0x0494	0x0012f6d0
0x0495	0x002e70d0
0x0496	0x002e726c
0x0497	0x002e7408
0x0498	0x002e7478
0x0499	0x002e74e8
0x049A	0x002e757c
0x049B	0x00283d9c
0x049C	0x0031a4c0
0x049D	0x0031a51c
0x049E	0x0007aba0
0x049F	0x0001689c
0x04A0	0x000168f4
0x04A1	0x00289834
0x04A2	0x0020dbec
0x04A3	0x0032c4e4
0x04A4	0x0032c54c
0x04A5	0x002e7610
0x04A6	0x002e76a4
0x04A7	0x002e773c
0x04A8	0x002e7780
0x04A9	0x002e7830
0x04AA	0x002e78e0
0x04AB	0x002e795c
0x04AC	0x002e79d8
0x04AD	0x002e7a3c
0x04AE	0x0032c5b4
0x04AF	0x0032c67c
0x04B0	0x0032c744
0x04B1	0x0032c7b4
0x04B2	0x0032c824
0x04B3	0x0032c8b8
0x04B4	0x00080b58
0x04B5	0x0032c94c
0x04B6	0x0032c9c4
0x04B7	0x0032ca40
0x04B8	0x002106c8
0x04B9	0x0032cab4
0x04BA	0x002107c8
0x04BB	0x00275db8
0x04BC	0x0021080c
0x04BD	0x001dd29c
0x04BE	0x002e7abc
0x04BF	0x0031a57c
0x04C0	0x002109b4
0x04C1	0x00210a3c
0x04C2	0x0032cbc0
0x04C3	0x0032cc2c
0x04C4	0x0028ef84
0x04C5	0x0012f780
0x04C6	0x0012f7e0
0x04C7	0x0029b668
0x04C8	0x0029b688
0x04C9	0x0029b6a8
0x04CA	0x0029b748
0x04CB	0x0007ad9c
0x04CC	0x002898a4
0x04CD	0x002ee3e4
0x04CE	0x0031a674
0x04CF	0x0032cc7c
0x04D0	0x0032cd14
0x04D1	0x002e7b80
0x04D2	0x002e7bc8
0x04D3	0x0032cdac
0x04D4	0x001dd370
0x04D5	0x001dd3d4
0x04D6	0x001dd440
0x04D7	0x0018c1e4
0x04D8	0x00210a5c
0x04D9	0x00082698
0x04DA	0x000826d4
0x04DB	0x00082710
0x04DC	0x0029b7d0
0x04DD	0x002e7c38
0x04DE	0x00283dcc
0x04DF	0x001dd4fc
0x04E0	0x002820a0
0x04E1	0x0031a6e4
0x04E2	0x002898ac
0x04E3	0x00210b5c
0x04E4	0x0032ce48
0x04E5	0x0008273c
0x04E6	0x0032cebc
0x04E7	0x0029b840
0x04E8	0x002e7c84
0x04E9	0x002e7d50
0x04EA	0x0008278c
0x04EB	0x002898ec
0x04EC	0x00080094
0x04ED	0x0012f820
0x04EE	0x0032cf34
0x04EF	0x0008017c
0x04F0	0x001dd61c
0x04F1	0x002119d4
0x04F2	0x002b89fc
0x04F3	0x000827a0
0x04F4	0x000827e0
0x04F5	0x00275dec
0x04F6	0x0007af98
0x04F7	0x002ee5cc
0x04F8	0x00238854
0x04F9	0x002389b8
0x04FA	0x002e7e1c
0x04FB	0x0028992c
0x04FC	0x00291530
0x04FD	0x002eff40
0x04FE	0x00291588
0x04FF	0x002915b4
0x0500	0x0032cf80
0x0501	0x0032cfe4
0x0502	0x0032d04c
0x0503	0x0032d090
0x0504	0x0032d114
0x0505	0x0032d154
0x0506	0x0032d1ec
0x0507	0x00289970
0x0508	0x0032d268
0x0509	0x001dd760
0x050A	0x00082860
0x050B	0x00082874
0x050C	0x00082888
0x050D	0x0008289c
0x050E	0x000828b0
0x050F	0x00082904
0x0510	0x00082958
0x0511	0x000829ac
0x0512	0x00082a00
0x0513	0x00082a54
0x0514	0x00082aa8
0x0515	0x00082afc
0x0516	0x00082b50
0x0517	0x00082ba4
0x0518	0x00082bf8
0x0519	0x00082c4c
0x051A	0x00082ca0
0x051B	0x00082cf4
0x051C	0x00082d48
0x051D	0x00082d94
0x051E	0x00082de0
0x051F	0x00082e2c
0x0520	0x00082e78
0x0521	0x00082ec4
0x0522	0x00082f10
0x0523	0x00080df8
0x0524	0x0018c288
0x0525	0x0018c304
0x0526	0x00080e68
0x0527	0x0032d2dc
0x0528	0x00080f08
0x0529	0x00080f94
0x052A	0x00081040
0x052B	0x00082f5c
0x052C	0x00082fb0
0x052D	0x0012f9bc
0x052E	0x002899c0
0x052F	0x001dd7f0
0x0530	0x0029b920
0x0531	0x0032d3b0
0x0532	0x001dd810
0x0533	0x002e7e8c
0x0534	0x002e7f78
0x0535	0x00083004
0x0536	0x00083074
0x0537	0x000830e4
0x0538	0x00083130
0x0539	0x0008317c
0x053A	0x000831ec
0x053B	0x00083238
0x053C	0x00083284
0x053D	0x000832d8
0x053E	0x0008332c
0x053F	0x00289a2c
0x0540	0x00289a6c
0x0541	0x002e7fc8
0x0542	0x0032d41c
0x0543	0x0032d490
0x0544	0x0012fcbc
0x0545	0x0031a794
0x0546	0x00083380
0x0547	0x00291614
0x0548	0x001dd880
0x0549	0x001dd910
0x054A	0x002ee7bc
0x054B	0x0032d504
0x054C	0x000833d4
0x054D	0x0032d598
0x054E	0x001dd96c
0x054F	0x001dd9a4
0x0550	0x000834d4
0x0551	0x00083518
0x0552	0x0008355c
0x0553	0x000835b0
0x0554	0x000835f4
0x0555	0x0029b964
0x0556	0x0001699c
0x0557	0x0032d60c
0x0558	0x0032d680
0x0559	0x00210d04
0x055A	0x0009e4c8
